文字,文字,Unicode,Unicode(Dec),原始CID,字圖名称,目標CID,字圖名称,No.,
与,与,4E0E,19982,9497,uni4E0E-JP,62068,uni4E0EuE0101-JP,1,
丽,丽,4E3D,20029,9564,uni4E3D-CN,9565,uni4E3D-TW,2,
亡,亡,4EA1,20129,9701,uni4EA1-JP,62075,uni4EA1uE0101-JP,3,
伨,伨,4F28,20264,9906,uni4F28-CN,9907,uni4F28-HK,4,
侴,侴,4FB4,20404,10117,uni4FB4-CN,10118,uni4FB4-HK,5,
倜,倜,501C,20508,10292,uni501C-CN,10291,uni501C-JP,6,
倡,倡,5021,20513,10300,uni5021-CN,10301,uni5021-HK,7,
倯,倯,502F,20527,10327,uni502F-CN,10328,uni502F-TW,8,
偝,偝,505D,20573,10407,uni505D-TW,10408,uni505D-HK,9,
偡,偡,5061,20577,10416,uni5061-CN,10417,uni5061-TW,10,
偰,偰,5070,20592,10441,uni5070-KR,10440,uni5070-JP,11,
傂,傂,5082,20610,10471,uni5082-CN,10472,uni5082-TW,12,
僋,僋,50CB,20683,10613,uni50CB-CN,10614,uni50CB-TW,13,
儥,儥,5125,20773,10780,uni5125-CN,10781,uni5125-HK,14,
兎,兎,514E,20814,61899,uni514E-JP90-JP,10855,uni514E-JP,15,
具,具,5177,20855,62103,uni5177uE0101-JP,10926,uni5177-JP,16,
冴,冴,51B4,20916,11010,uni51B4-JP,62110,uni51B4uE0102-JP,17,
冹,冹,51B9,20921,11021,uni51B9-CN,11022,uni51B9-TW,18,
凋,凋,51CB,20939,11051,uni51CB-JP,62111,uni51CBuE0101-JP,19,
凼,凼,51FC,20988,11126,uni51FC-CN,11127,uni51FC-HK,20,
前,前,524D,21069,11237,uni524D-CN,62123,uni524DuE0101-JP,21,
剪,剪,526A,21098,11284,uni526A-CN,11283,uni526A-JP,22,
割,割,5272,21106,11296,uni5272-KR,61809,u2F822-JP,23,
勂,勂,52C2,21186,11429,uni52C2-CN,11430,uni52C2-HK,24,
勗,勗,52D7,21207,11460,uni52D7-JP,62130,uni52D7uE0101-JP,25,
厧,厧,53A7,21415,11796,uni53A7-CN,11797,uni53A7-HK,26,
叟,叟,53DF,21471,61905,uni53DF-JP90-JP,11892,uni53DF-JP,27,
吾,吾,543E,21566,12033,uni543E-CN,12034,uni543E-TW,28,
呀,呀,5440,21568,12037,uni5440-KR,12036,uni5440-JP,29,
呈,呈,5448,21576,12050,uni5448-KR,62157,uni5448uE0101-JP,30,
周,周,5468,21608,12093,uni5468-CN,61814,u2F83F-JP,31,
咎,咎,548E,21646,12148,uni548E-KR,12147,uni548E-JP,32,
咓,咓,5493,21651,12154,uni5493-CN,12155,uni5493-HK,33,
唔,唔,5514,21780,12342,uni5514-CN,12343,uni5514-HK,34,
唥,唥,5525,21797,12361,uni5525-CN,12362,uni5525-HK,35,
唦,唦,5526,21798,12363,uni5526-CN,12364,uni5526-HK,36,
唬,唬,552C,21804,12373,uni552C-CN,12374,uni552C-TW,37,
唱,唱,5531,21809,12381,uni5531-CN,12382,uni5531-HK,38,
唴,唴,5534,21812,12388,uni5534-CN,12389,uni5534-TW,39,
商,商,5546,21830,12424,uni5546-JP,62164,uni5546uE0101-JP,40,
啟,啟,555F,21855,12463,uni555F-CN,12464,uni555F-TW,41,
啡,啡,5561,21857,12466,uni5561-JP,62166,uni5561uE0101-JP,42,
喞,喞,559E,21918,12564,uni559E-CN,12563,uni559E-JP,43,
喫,喫,55AB,21931,62170,uni55ABuE0101-JP,62171,uni55ABuE0102-JP,44,
喼,喼,55BC,21948,12617,uni55BC-CN,12618,uni55BC-HK,45,
嗂,嗂,55C2,21954,12627,uni55C2-CN,12629,uni55C2-HK,46,
嗐,嗐,55D0,21968,12653,uni55D0-CN,12655,uni55D0-HK,47,
嗖,嗖,55D6,21974,12668,uni55D6-CN,12669,uni55D6-TW,48,
嗡,嗡,55E1,21985,12691,uni55E1-CN,12692,uni55E1-TW,49,
嘈,嘈,5608,22024,12759,uni5608-CN,12760,uni5608-HK,50,
嘲,嘲,5632,22066,61909,uni5632-JP90-JP,12827,uni5632-JP,51,
噙,噙,5659,22105,12894,uni5659-CN,12895,uni5659-TW,52,
噳,噳,5673,22131,12943,uni5673-CN,12944,uni5673-TW,53,
噾,噾,567E,22142,12962,uni567E-CN,12963,uni567E-TW,54,
嚮,嚮,56AE,22190,62181,uni56AEuE0103-JP,62179,uni56AEuE0101-JP,55,
嚳,嚳,56B3,22195,13058,uni56B3-KR,13057,uni56B3-JP,56,
圄,圄,5704,22276,13197,uni5704-CN,13198,uni5704-HK,57,
坋,坋,574B,22347,13302,uni574B-CN,13303,uni574B-TW,58,
埁,埁,57C1,22465,13466,uni57C1-CN,13467,uni57C1-TW,59,
堋,堋,580B,22539,13590,uni580B-CN,62192,uni580BuE0101-JP,60,
堔,堔,5814,22548,13602,uni5814-CN,13603,uni5814-TW,61,
墁,墁,5881,22657,13787,uni5881-CN,13786,uni5881-JP,62,
壏,壏,58CF,22735,13919,uni58CF-CN,13920,uni58CF-TW,63,
壓,壓,58D3,22739,13928,uni58D3-JP,13931,uni58D3-HK,64,
壳,壳,58F3,22771,13983,uni58F3-JP,13984,uni58F3-CN,65,
夠,夠,5920,22816,14060,uni5920-CN,14061,uni5920-TW,66,
夢,夢,5922,22818,14065,uni5922-CN,14064,uni5922-JP,67,
契,契,5951,22865,58855,uniF909-JP,62203,uni5951uE0102-JP,68,
妄,妄,5984,22916,14242,uni5984-JP,62208,uni5984uE0101-JP,69,
妐,妐,5990,22928,14267,uni5990-CN,14268,uni5990-TW,70,
婓,婓,5A53,23123,14743,uni5A53-CN,14744,uni5A53-TW,71,
婔,婔,5A54,23124,14745,uni5A54-CN,14746,uni5A54-HK,72,
婙,婙,5A59,23129,14757,uni5A59-CN,14758,uni5A59-HK,73,
婤,婤,5A64,23140,14783,uni5A64-CN,14785,uni5A64-HK,74,
媥,媥,5AA5,23205,14936,uni5AA5-CN,14937,uni5AA5-TW,75,
嫂,嫂,5AC2,23234,15016,uni5AC2-JP,62220,uni5AC2uE0101-JP,76,
嫃,嫃,5AC3,23235,15020,uni5AC3-CN,15021,uni5AC3-HK,77,
嫚,嫚,5ADA,23258,15073,uni5ADA-JP,62222,uni5ADAuE0101-JP,78,
嬤,嬤,5B24,23332,15251,uni5B24-CN,15252,uni5B24-TW,79,
嬮,嬮,5B2E,23342,15277,uni5B2E-CN,15279,uni5B2E-HK,80,
嬴,嬴,5B34,23348,15291,uni5B34-KR,15290,uni5B34-JP,81,
孈,孈,5B48,23368,15334,uni5B48-CN,15335,uni5B48-TW,82,
孊,孊,5B4A,23370,15337,uni5B4A-CN,15338,uni5B4A-HK,83,
孍,孍,5B4D,23373,15346,uni5B4D-CN,15347,uni5B4D-TW,84,
宬,宬,5BAC,23468,15531,uni5BAC-KR,15530,uni5BAC-JP,85,
害,害,5BB3,23475,15545,uni5BB3-JP,62227,uni5BB3uE0102-JP,86,
寑,寑,5BD1,23505,15605,uni5BD1-CN,15606,uni5BD1-TW,87,
将,将,5C06,23558,15719,uni5C06-JP,15720,uni5C06-CN,88,
尐,尐,5C10,23568,15737,uni5C10-CN,15739,uni5C10-HK,89,
尜,尜,5C1C,23580,15755,uni5C1C-CN,15756,uni5C1C-HK,90,
尳,尳,5C33,23603,15788,uni5C33-CN,15790,uni5C33-HK,91,
屄,屄,5C44,23620,15814,uni5C44-CN,15815,uni5C44-TW,92,
岋,岋,5C8B,23691,15939,uni5C8B-CN,15940,uni5C8B-TW,93,
岤,岤,5CA4,23716,15987,uni5CA4-CN,15988,uni5CA4-TW,94,
峑,峑,5CD1,23761,16075,uni5CD1-CN,16076,uni5CD1-HK,95,
峼,峼,5CFC,23804,16163,uni5CFC-CN,16164,uni5CFC-HK,96,
崩,崩,5D29,23849,16262,uni5D29-CN,62239,uni5D29uE0101-JP,97,
嵼,嵼,5D7C,23932,16427,uni5D7C-CN,16428,uni5D7C-TW,98,
嶵,嶵,5DB5,23989,16550,uni5DB5-CN,16551,uni5DB5-TW,99,
嶶,嶶,5DB6,23990,16552,uni5DB6-CN,16553,uni5DB6-HK,100,
巀,巀,5DC0,24000,16574,uni5DC0-CN,16575,uni5DC0-HK,101,
巂,巂,5DC2,24002,16578,uni5DC2-CN,16579,uni5DC2-TW,102,
巆,巆,5DC6,24006,16585,uni5DC6-CN,16586,uni5DC6-TW,103,
巔,巔,5DD4,24020,16614,uni5DD4-CN,16615,uni5DD4-HK,104,
帝,帝,5E1D,24093,16721,uni5E1D-JP,62249,uni5E1DuE0101-JP,105,
幔,幔,5E54,24148,16798,uni5E54-CN,62253,uni5E54uE0101-JP,106,
幰,幰,5E70,24176,16847,uni5E70-KR,16846,uni5E70-JP,107,
幵,幵,5E75,24181,16856,uni5E75-JP,16858,uni5E75-HK,108,
廋,廋,5ECB,24267,62260,uni5ECBuE0101-JP,17019,uni5ECB-JP,109,
廏,廏,5ECF,24271,17029,uni5ECF-JP,62261,uni5ECFuE0101-JP,110,
廐,廐,5ED0,24272,17032,uni5ED0-KR,62262,uni5ED0uE0101-JP,111,
廟,廟,5EDF,24287,61920,uni5EDF-JP90-JP,17069,uni5EDF-JP,112,
弅,弅,5F05,24325,17144,uni5F05-CN,17145,uni5F05-TW,113,
弒,弒,5F12,24338,17167,uni5F12-CN,17168,uni5F12-TW,114,
弚,弚,5F1A,24346,17182,uni5F1A-CN,17183,uni5F1A-TW,115,
