文字,文字.1,Unicode,Unicode(Dec),原始CID,字圖名称,目標CID,字圖名称.1,No.,Unnamed: 9
丰,丰,4E30,20016,62071,uni4E30uE0101-JP,9547,uni4E30-CN,,
主,主,4E3B,20027,62073,uni4E3BuE0101-JP,9562,uni4E3B-CN,,いわゆる
乳,乳,4E73,20083,62074,uni4E73uE0101-JP,9632,uni4E73-JP,,
亡,亡,4EA1,20129,62075,uni4EA1uE0101-JP,9701,uni4EA1-JP,,
伴,伴,4F34,20276,62077,uni4F34uE0101-JP,9922,uni4F34-JP,,
住,住,4F4F,20303,62078,uni4F4FuE0101-JP,9960,uni4F4F-JP,,
佟,佟,4F5F,20319,9985,uni4F5F-JP,9986,uni4F5F-CN,,
俈,俈,4FC8,20424,10153,uni4FC8-JP,10154,uni4FC8-CN,,
俏,俏,4FCF,20431,10166,uni4FCF-JP,10167,uni4FCF-CN,,
俘,俘,4FD8,20440,10179,uni4FD8-JP,10180,uni4FD8-CN,,
倗,倗,5017,20503,10282,uni5017-JP,10283,uni5017-CN,,
倘,倘,5018,20504,10284,uni5018-JP,10285,uni5018-CN,,
倜,倜,501C,20508,10291,uni501C-JP,10292,uni501C-CN,,
倩,倩,5029,20521,10315,uni5029-JP,10316,uni5029-CN,,
偂,偂,5042,20546,10357,uni5042-JP,10358,uni5042-CN,,
偖,偖,5056,20566,10396,uni5056-JP,62087,uni5056uE0101-JP,,
偰,偰,5070,20592,10440,uni5070-JP,10441,uni5070-KR,12,
傋,傋,508B,20619,10484,uni508B-JP,10485,uni508B-CN,,
傔,傔,5094,20628,10505,uni5094-JP,10506,uni5094-CN,,
傰,傰,50B0,20656,10563,uni50B0-JP,10564,uni50B0-CN,,
僈,僈,50C8,20680,10609,uni50C8-TW,10608,uni50C8-CN,,
僧,僧,50E7,20711,58913,uniFA31-JP,10665,uni50E7-CN,,
儥,儥,5125,20773,10781,uni5125-HK,10780,uni5125-CN,,
儬,儬,512C,20780,10791,uni512C-JP,10792,uni512C-CN,,
儲,儲,5132,20786,10805,uni5132-JP,61898,uni5132-JP90-JP,,
兼,兼,517C,20860,62104,uni517CuE0101-JP,10933,uni517C-CN,,
冉,冉,5189,20873,62105,uni5189uE0101-JP,10951,uni5189-CN,,
冓,冓,5193,20883,10967,uni5193-KR,10966,uni5193-JP,,
再,再,518D,20877,61807,u2F815-JP,10955,uni518D-CN,,
冤,冤,51A4,20900,10989,uni51A4-JP,61900,uni51A4-JP90-JP,,
冬,冬,51AC,20908,61808,u2F81A-JP,10999,uni51AC-JP,,
冸,冸,51B8,20920,11019,uni51B8-JP,11020,uni51B8-CN,,
凊,凊,51CA,20938,11048,uni51CA-JP,11049,uni51CA-CN,,
凋,凋,51CB,20939,62111,uni51CBuE0101-JP,11051,uni51CB-JP,,
凐,凐,51D0,20944,11063,uni51D0-TW,11062,uni51D0-CN,,
凟,凟,51DF,20959,11089,uni51DF-JP,11090,uni51DF-CN,,
券,券,5238,21048,62121,uni5238uE0101-JP,11208,uni5238-JP,,
削,削,524A,21066,62122,uni524AuE0101-JP,11233,uni524A-CN,,
前,前,524D,21069,62123,uni524DuE0101-JP,11237,uni524D-CN,,
剪,剪,526A,21098,11283,uni526A-JP,11284,uni526A-CN,,
勂,勂,52C2,21186,11430,uni52C2-HK,11429,uni52C2-CN,,
勗,勗,52D7,21207,62130,uni52D7uE0101-JP,11460,uni52D7-JP,,
勝,勝,52DD,21213,62131,uni52DDuE0101-JP,11471,uni52DD-JP,,
勺,勺,52FA,21242,61811,u2F828-JP,11519,uni52FA-CN,,
半,半,534A,21322,62139,uni534AuE0101-JP,11664,uni534A-CN,,
卻,卻,537B,21371,11735,uni537B-JP,11736,uni537B-KR,,
卿,卿,537F,21375,11743,uni537F-JP,61901,uni537F-JP90-JP,,
厩,厩,53A9,21417,11800,uni53A9-JP,61902,uni53A9-JP90-JP,,
厰,厰,53B0,21424,11815,uni53B0-JP,11816,uni53B0-CN,,
叛,叛,53DB,21467,11885,uni53DB-JP,61904,uni53DB-JP90-JP,,
呈,呈,5448,21576,62157,uni5448uE0101-JP,12049,uni5448-JP,,
周,周,5468,21608,61814,u2F83F-JP,12093,uni5468-CN,,
咲,咲,54B2,21682,62158,uni54B2uE0101-JP,12201,uni54B2-JP,,
哨,哨,54E8,21736,12272,uni54E8-JP,61907,uni54E8-JP90-JP,,
哪,哪,54EA,21738,12276,uni54EA-JP,12277,uni54EA-CN,,
啁,啁,5541,21825,12412,uni5541-JP,12413,uni5541-CN,,
商,商,5546,21830,62164,uni5546uE0101-JP,12424,uni5546-JP,,
喫,喫,55AB,21931,62171,uni55ABuE0102-JP,62170,uni55ABuE0101-JP,,
嗩,嗩,55E9,21993,12703,uni55E9-JP,12704,uni55E9-CN,,
嘲,嘲,5632,22066,12827,uni5632-JP,61909,uni5632-JP90-JP,,
噌,噌,564C,22092,12871,uni564C-JP,12872,uni564C-CN,,
嚳,嚳,56B3,22195,13057,uni56B3-JP,13058,uni56B3-KR,,
囎,囎,56CE,22222,13111,uni56CE-JP,13112,uni56CE-CN,,
圊,圊,570A,22282,13209,uni570A-JP,13210,uni570A-CN,,
圴,圴,5734,22324,13269,uni5734-JP,13270,uni5734-CN,,
坢,坢,5762,22370,13334,uni5762-JP,13335,uni5762-CN,,
坪,坪,576A,22378,62187,uni576AuE0101-JP,13344,uni576A-CN,,
垔,垔,5794,22420,13406,uni5794-JP,13407,uni5794-CN,,
城,城,57CE,22478,61817,u2F852-JP,13486,uni57CE-CN,,
埒,埒,57D2,22482,13494,uni57D2-JP,13495,uni57D2-CN,,
埕,埕,57D5,22485,13498,uni57D5-JP,13499,uni57D5-CN,,
埰,埰,57F0,22512,13541,uni57F0-JP,13542,uni57F0-CN,,
堋,堋,580B,22539,62192,uni580BuE0101-JP,13590,uni580B-CN,,
