標準,IVD,Unicode,Unicode(Dec),IVS,目標CID,字圖名称,IVD集,註釋,No.
万,万,4E07,19975,E0101,9490,uni4E07-CN,Hanyo-Denshi,,
丈,丈,4E08,19976,E0102,9491,uni4E08-CN,Hanyo-Denshi,,
丈,丈,4E08,19976,E0103,9491,uni4E08-CN,Hanyo-Denshi,,
与,与,4E0E,19982,E0102,9497,uni4E0E-JP,Hanyo-Denshi,,
与,与,4E0E,19982,E0103,62068,uni4E0EuE0101-JP,Hanyo-Denshi,,
丑,丑,4E11,19985,E0101,9506,uni4E11-JP,Hanyo-Denshi,,
且,且,4E14,19988,E0101,9510,uni4E14-CN,Hanyo-Denshi,,
丘,丘,4E18,19992,E0101,9516,uni4E18-JP,Hanyo-Denshi,,
丙,丙,4E19,19993,E0102,9518,uni4E19-CN,Hanyo-Denshi,,
丙,丙,4E19,19993,E0103,62069,uni4E19uE0101-JP,Hanyo-Denshi,,
丞,丞,4E1E,19998,E0101,9523,uni4E1E-JP,Hanyo-Denshi,,
並,並,4E26,20006,E0102,9534,uni4E26-JP,Hanyo-Denshi,,
並,並,4E26,20006,E0103,62070,uni4E26uE0101-JP,Hanyo-Denshi,,
丰,丰,4E30,20016,E0102,9547,uni4E30-CN,Hanyo-Denshi,,
丰,丰,4E30,20016,E0103,62071,uni4E30uE0101-JP,Hanyo-Denshi,,
丸,丸,4E38,20024,E0101,9558,uni4E38-JP,Hanyo-Denshi,,
丹,丹,4E39,20025,E0102,9560,uni4E39-JP,Hanyo-Denshi,,
主,主,4E3B,20027,E0102,9562,uni4E3B-CN,Hanyo-Denshi,,
主,主,4E3B,20027,E0103,62073,uni4E3BuE0101-JP,Hanyo-Denshi,,
乘,乘,4E58,20056,E0101,9599,uni4E58-CN,Hanyo-Denshi,,
乳,乳,4E73,20083,E0102,9632,uni4E73-JP,Hanyo-Denshi,,
乳,乳,4E73,20083,E0103,62074,uni4E73uE0101-JP,Hanyo-Denshi,,
亂,亂,4E82,20098,E0101,9653,uni4E82-JP,Hanyo-Denshi,,
予,予,4E88,20104,E0101,9664,uni4E88-CN,Hanyo-Denshi,,
五,五,4E94,20116,E0101,9680,uni4E94-JP,Hanyo-Denshi,,
亘,亘,4E98,20120,E0101,9685,uni4E98-JP,Hanyo-Denshi,,
亙,亙,4E99,20121,E0101,9686,uni4E99-JP,Hanyo-Denshi,,
亞,亞,4E9E,20126,E0101,9694,uni4E9E-JP,Hanyo-Denshi,,
亟,亟,4E9F,20127,E0101,9696,uni4E9F-JP,Hanyo-Denshi,,
亠,亠,4EA0,20128,E0102,9699,uni4EA0-JP,Hanyo-Denshi,,
亡,亡,4EA1,20129,E0102,9701,uni4EA1-JP,Hanyo-Denshi,,
亡,亡,4EA1,20129,E0103,62075,uni4EA1uE0101-JP,Hanyo-Denshi,,
亢,亢,4EA2,20130,E0102,9704,uni4EA2-JP,Hanyo-Denshi,,
交,交,4EA4,20132,E0102,9707,uni4EA4-JP,Hanyo-Denshi,,
交,交,4EA4,20132,E0104,62076,uni4EA4uE0101-JP,Hanyo-Denshi,,
亥,亥,4EA5,20133,E0101,9709,uni4EA5-JP,Hanyo-Denshi,,
亨,亨,4EA8,20136,E0101,9715,uni4EA8-JP,Hanyo-Denshi,,
享,享,4EAB,20139,E0101,9719,uni4EAB-JP,Hanyo-Denshi,,
