標準,IVD,Unicode,Unicode(Dec),IVS,目標CID,字圖名称,IVD集,註釋,No.
万,万,4E07,19975,E0101,9490,uni4E07-CN,Hanyo-Denshi,,
丈,丈,4E08,19976,E0102,9491,uni4E08-CN,Hanyo-Denshi,,
丈,丈,4E08,19976,E0103,9491,uni4E08-CN,Hanyo-Denshi,,
与,与,4E0E,19982,E0102,9497,uni4E0E-JP,Hanyo-Denshi,,
与,与,4E0E,19982,E0103,62068,uni4E0EuE0101-JP,Hanyo-Denshi,,
丑,丑,4E11,19985,E0101,9506,uni4E11-JP,Hanyo-Denshi,,
丒,丒,4E12,19986,E0101,9508,uni4E12-JP,Hanyo-Denshi,,
且,且,4E14,19988,E0101,9510,uni4E14-CN,Hanyo-Denshi,,
丘,丘,4E18,19992,E0101,9516,uni4E18-JP,Hanyo-Denshi,,
丙,丙,4E19,19993,E0102,9518,uni4E19-CN,Hanyo-Denshi,,
丙,丙,4E19,19993,E0103,62069,uni4E19uE0101-JP,Hanyo-Denshi,,
丞,丞,4E1E,19998,E0101,9523,uni4E1E-JP,Hanyo-Denshi,,
並,並,4E26,20006,E0102,9534,uni4E26-JP,Hanyo-Denshi,,
並,並,4E26,20006,E0103,62070,uni4E26uE0101-JP,Hanyo-Denshi,,
丰,丰,4E30,20016,E0102,9547,uni4E30-CN,Hanyo-Denshi,,
丰,丰,4E30,20016,E0103,62071,uni4E30uE0101-JP,Hanyo-Denshi,,
丵,丵,4E35,20021,E0101,9554,uni4E35-JP,Hanyo-Denshi,,
丸,丸,4E38,20024,E0101,9558,uni4E38-JP,Hanyo-Denshi,,
丹,丹,4E39,20025,E0102,9560,uni4E39-JP,Hanyo-Denshi,,
主,主,4E3B,20027,E0102,9562,uni4E3B-CN,Hanyo-Denshi,,
主,主,4E3B,20027,E0103,62073,uni4E3BuE0101-JP,Hanyo-Denshi,,
乁,乁,4E41,20033,E0101,9569,uni4E41-JP,Moji-Joho,,
乂,乂,4E42,20034,E0101,9570,uni4E42-JP,Moji-Joho,,
乂,乂,4E42,20034,E0102,9570,uni4E42-JP,Moji-Joho,,
乂,乂,4E42,20034,E0103,9570,uni4E42-JP,Moji-Joho,,
乄,乄,4E44,20036,E0101,9573,uni4E44-JP,Moji-Joho,,
乄,乄,4E44,20036,E0102,9573,uni4E44-JP,Moji-Joho,,
久,久,4E45,20037,E0101,9574,uni4E45-CN,Moji-Joho,,
久,久,4E45,20037,E0102,9574,uni4E45-CN,Moji-Joho,,
乇,乇,4E47,20039,E0101,9576,uni4E47-JP,Hanyo-Denshi,,
乕,乕,4E55,20053,E0101,9594,uni4E55-JP,Hanyo-Denshi,,
乘,乘,4E58,20056,E0101,9599,uni4E58-CN,Hanyo-Denshi,,
乳,乳,4E73,20083,E0102,9632,uni4E73-JP,Hanyo-Denshi,,
乳,乳,4E73,20083,E0103,62074,uni4E73uE0101-JP,Hanyo-Denshi,,
乵,乵,4E75,20085,E0101,9635,uni4E75-JP,Hanyo-Denshi,,
亀,亀,4E80,20096,E0101,9651,uni4E80-JP,Hanyo-Denshi,,
亂,亂,4E82,20098,E0101,9653,uni4E82-JP,Hanyo-Denshi,,
了,了,4E86,20102,E0101,9660,uni4E86-JP,Hanyo-Denshi,,
予,予,4E88,20104,E0101,9664,uni4E88-CN,Moji-Joho,,
五,五,4E94,20116,E0101,9680,uni4E94-JP,Hanyo-Denshi,,
