標準,IVD,Unicode,Unicode(Dec),IVS,目標CID,字圖名称,IVD集,註釋,No.
悜,悜,609C,24732,E0100,17828,uni609C-TW,Hanyo-Denshi,,
悜,悜,609C,24732,E0101,17827,uni609C-CN,Hanyo-Denshi,,
朓,朓,6713,26387,E0101,20709,uni6713-CN,Hanyo-Denshi,,
旃,旃,65C3,26051,E01EF,20148,uni65C3-KR,PUA,Self Use Only,
栲,栲,6832,26674,E0102,21153,uni6832-KR,Hanyo-Denshi,,
栴,栴,6834,26676,E0102,21158,uni6834-KR,Hanyo-Denshi,,
槩,槩,69E9,27113,E01EF,21931,uni69E9-KR,PUA,Self Use Only,
檉,檉,6A89,27273,E0101,22214,uni6A89-KR,Moji-Joho,,
毒,毒,6BD2,27602,E0102,22844,uni6BD2-KR,Hanyo-Denshi,,
氓,氓,6C13,27667,E0103,22957,uni6C13-KR,Hanyo-Denshi,,
汒,汒,6C52,27730,E0102,23053,uni6C52-KR,Hanyo-Denshi,,
汛,汛,6C5B,27739,E0102,23067,uni6C5B-CN,Hanyo-Denshi,,
汧,汧,6C67,27751,E0102,23083,uni6C67-CN,Hanyo-Denshi,,
泙,泙,6CD9,27865,E0102,23254,uni6CD9-CN,Hanyo-Denshi,,
泮,泮,6CEE,27886,E01EF,23291,uni6CEE-CN,PUA,Self Use Only,
洴,洴,6D34,27956,E0102,23391,uni6D34-CN,Hanyo-Denshi,,
浧,浧,6D67,28007,E01EF,23461,uni6D67-KR,PUA,Self Use Only,
淍,淍,6DCD,28109,E0100,23623,uni6DCD-HK,Hanyo-Denshi,,
淍,淍,6DCD,28109,E0101,23621,uni6DCD-CN,Hanyo-Denshi,,
渝,渝,6E1D,28189,E0102,23762,uni6E1D-CN,Hanyo-Denshi,,
湔,湔,6E54,28244,E01EF,23860,uni6E54-CN,PUA,Self Use Only,
湠,湠,6E60,28256,E0100,23881,uni6E60-CN,Hanyo-Denshi,,
湠,湠,6E60,28256,E0101,23882,uni6E60-TW,Hanyo-Denshi,,
湧,湧,6E67,28263,E0102,23893,uni6E67-CN,Hanyo-Denshi,,
湱,湱,6E71,28273,E0100,23907,uni6E71-CN,Hanyo-Denshi,,
湱,湱,6E71,28273,E0101,23909,uni6E71-HK,Hanyo-Denshi,,
溲,溲,6EB2,28338,E0104,24011,uni6EB2-KR,Hanyo-Denshi,,
漫,漫,6F2B,28459,E0102,24246,uni6F2B-TW,Hanyo-Denshi,,
澔,澔,6F94,28564,E0102,24429,uni6F94-CN,Hanyo-Denshi,,
灰,灰,7070,28784,E0103,24844,uni7070-CN,Hanyo-Denshi,,
炷,炷,70B7,28855,E0102,24988,uni70B7-CN,Hanyo-Denshi,,
焅,焅,7105,28933,E01EF,25123,uni7105-CN,PUA,Self Use Only,
焇,焇,7107,28935,E01EF,25129,uni7107-CN,PUA,Self Use Only,
牙,牙,7259,29273,E0104,25824,uni7259-KR,Moji-Joho,,
牚,牚,725A,29274,E01EF,25828,uni725A-KR,PUA,Self Use Only,
珵,珵,73F5,29685,E0102,26466,uni73F5-KR,Hanyo-Denshi,,
珹,珹,73F9,29689,E0102,26472,uni73F9-CN,Hanyo-Denshi,,
琑,琑,7411,29713,E01EF,26511,uni7411-CN,PUA,Self Use Only,
琱,琱,7431,29745,E0102,26565,uni7431-CN,Hanyo-Denshi,,
瑣,瑣,7463,29795,E0102,26649,uni7463-CN,Hanyo-Denshi,,
瑥,瑥,7465,29797,E0101,26654,uni7465-CN,Hanyo-Denshi,,
瑨,瑨,7468,29800,E0102,26660,uni7468-CN,Hanyo-Denshi,,
甭,甭,752D,29997,E01EF,27059,uni752D-HK,PUA,Self Use Only,
甿,甿,753F,30015,E01EF,27085,uni753F-KR,PUA,Self Use Only,
癤,癤,7664,30308,E01EF,27642,uni7664-KR,PUA,Self Use Only,
眔,眔,7714,30484,E0102,27923,uni7714-CN,Hanyo-Denshi,,
眹,眹,7739,30521,E0102,27976,uni7739-CN,Hanyo-Denshi,,
睛,睛,775B,30555,E0102,28030,uni775B-CN,Hanyo-Denshi,,
睭,睭,776D,30573,E0100,28065,uni776D-HK,Hanyo-Denshi,,
睭,睭,776D,30573,E0101,28063,uni776D-CN,Hanyo-Denshi,,
瞎,瞎,778E,30606,E0103,28121,uni778E-KR,Hanyo-Denshi,,
瞬,瞬,77AC,30636,E0102,28167,uni77AC-KR,Moji-Joho,,
矒,矒,77D2,30674,E0102,28237,uni77D2-CN,Hanyo-Denshi,,
矟,矟,77DF,30687,E01EF,28265,uni77DF-CN,PUA,Self Use Only,
矰,矰,77F0,30704,E01EF,28293,uni77F0-CN,PUA,Self Use Only,
砉,砉,7809,30729,E0102,28329,uni7809-TW,Hanyo-Denshi,,
砑,砑,7811,30737,E01EF,28344,uni7811-KR,PUA,Self Use Only,
砰,砰,7830,30768,E01EF,28392,uni7830-CN,PUA,Self Use Only,
硞,硞,785E,30814,E0102,28446,uni785E-CN,Hanyo-Denshi,,
硴,硴,7874,30836,E0102,28478,uni7874-CN,Hanyo-Denshi,,
碉,碉,7889,30857,E01EE,28509,uni7889-CN,PUA,Self Use Only,
碉,碉,7889,30857,E01EF,28511,uni7889-HK,PUA,Self Use Only,
碰,碰,78B0,30896,E0102,28571,uni78B0-CN,Hanyo-Denshi,,
碿,碿,78BF,30911,E01EF,28597,uni78BF-CN,PUA,Self Use Only,
磳,磳,78F3,30963,E01EF,28697,uni78F3-CN,PUA,Self Use Only,
祢,祢,7962,31074,E0104,28894,uni7962-KR,Hanyo-Denshi,,
禫,禫,79AB,31147,E0103,29034,uni79AB-KR,Hanyo-Denshi,,
秚,秚,79DA,31194,E01EF,29117,uni79DA-CN,PUA,Self Use Only,
称,称,79F0,31216,E0102,29154,uni79F0-CN,Hanyo-Denshi,,
程,程,7A0B,31243,E01EF,29195,uni7A0B-KR,PUA,Self Use Only,
稍,稍,7A0D,31245,E0102,29199,uni7A0D-CN,Hanyo-Denshi,,
稠,稠,7A20,31264,E0102,29235,uni7A20-CN,Hanyo-Denshi,,
稧,稧,7A27,31271,E0102,29247,uni7A27-KR,Hanyo-Denshi,,
穿,穿,7A7F,31359,E0105,29417,uni7A7F-KR,Moji-Joho,,
窖,窖,7A96,31382,E0102,29478,uni7A96-KR,Hanyo-Denshi,,
竄,竄,7AC4,31428,E0102,29592,uni7AC4-KR,Hanyo-Denshi,,
竇,竇,7AC7,31431,E01EF,29601,uni7AC7-KR,PUA,Self Use Only,
笧,笧,7B27,31527,E01EF,29793,uni7B27-CN,PUA,Self Use Only,
筲,筲,7B72,31602,E0102,29939,uni7B72-CN,Hanyo-Denshi,,
箉,箉,7B89,31625,E01EF,29982,uni7B89-CN,PUA,Self Use Only,
箐,箐,7B90,31632,E0102,30000,uni7B90-CN,Hanyo-Denshi,,
箾,箾,7BBE,31678,E01EF,30092,uni7BBE-CN,PUA,Self Use Only,
簉,簉,7C09,31753,E0103,30259,uni7C09-KR,Hanyo-Denshi,,
簿,簿,7C3F,31807,E0103,30377,uni7C3F-CN,Hanyo-Denshi,,
类,类,7C7B,31867,E0101,30519,uni7C7B-CN,Hanyo-Denshi,,
籾,籾,7C7E,31870,E0105,30527,uni7C7E-CN,Hanyo-Denshi,,
粢,粢,7CA2,31906,E01EF,30595,uni7CA2-CN,PUA,Self Use Only,
粣,粣,7CA3,31907,E01EE,30597,uni7CA3-CN,PUA,Self Use Only,
粣,粣,7CA3,31907,E01EF,30599,uni7CA3-HK,PUA,Self Use Only,
糏,糏,7CCF,31951,E01EF,30691,uni7CCF-CN,PUA,Self Use Only,
糙,糙,7CD9,31961,E01EF,30718,uni7CD9-KR,PUA,Self Use Only,
絳,絳,7D73,32115,E0103,31034,uni7D73-KR,Hanyo-Denshi,,
綢,綢,7DA2,32162,E0102,31132,uni7DA2-KR,Hanyo-Denshi,,
繩,繩,7E69,32361,E0102,31565,uni7E69-KR,Hanyo-Denshi,,
纛,纛,7E9B,32411,E01EF,31679,uni7E9B-KR,PUA,Self Use Only,
