標準,相容,Unicode,相容區編碼,VS,目標CID,字圖名称,新字圖？,註釋
充,充,5145,FA74,FE00,10840,uni5145uE0102-JP,Y,
剷,剷,5277,2F823,FE00,11309,uni5277-CM,Y,
吆,吆,5406,2F83B,FE00,61813,u2F83B-CL,Y,HKSCS
咢,咢,54A2,2F840,FE00,61815,u2F840-CL,Y,HKSCS
喳,喳,55B3,2F849,FE00,12603,uni55B3-CL,Y,
報,報,5831,2F857,FE00,13653,uni5831uE0102-JP,Y,
姘,姘,59D8,2F865,FE00,14446,uni59D8-CL,Y,
娧,娧,5A27,2F864,FE00,14644,uni5A27uE0102-JP,Y,
寘,寘,5BD8,2F86E,FE00,15620,uni5BD8-JP,N,
屮,屮,5C6E,2F878,FE01,15885,uni5C6E-JP,N,HKSCS
帨,帨,5E28,2F885,FE00,16739,uni5E28-CN,N,
弢,弢,5F22,2F894,FE00,61823,u2F894-CL,Y,HKSCS
惇,惇,60C7,2F8A5,FE00,17910,uni60C7uE0102-JP,Y,
懶,懶,61F6,2F8B1,FE01,18474,uni61F6-CM,Y,
拼,拼,62FC,2F8BA,FE00,18887,uni62FCuE0102-JP,Y,
摾,摾,647E,2F8C4,FE00,19547,uni647E-CL,Y,
災,災,707D,2F918,FE00,24869,uni707DuE0102-JP,Y,
碌,碌,788C,2F94F,FE01,28515,uni788CuE0102-JP,Y,
糨,糨,7CE8,2F968,FE00,30751,uni7CE8-CL,Y,
鏹,鏹,93F9,2F9EB,FE00,42307,uni93F9uE0102-JP,Y,
駾,駾,99FE,2FA07,FE00,44862,uni99FE-CN,N,
