標準,Unicode,Unicode(Dec),IVS,目標CID,字圖名称,被修改或替換的字圖名称,IVD集,默認字圖,註釋
专,4E13,19987,/,9509,uni4E13-CN,uni4E13-CN,/,All,CL - 舊式明朝體（含俗字）
东,4E1C,19996,/,9521,uni4E1C-CN,uni4E1C-CN,/,All,M - 現代筆形印刷體(MN)
丝,4E1D,19997,/,9522,uni4E1D-CN,uni4E1D-CN,/,All, CM - 秋明通表新字形
丢,4E22,20002,/,9530,uni4E22-CM,uni4E22-CN,/,All,JP - J字形/假想J字形/日本註冊的IVS字圖
丧,4E27,20007,/,9535,uni4E27-CM,uni4E27-CN,/,All,KX - 康熙字典
临,4E34,20020,/,9553,uni4E34-CM,uni4E34-CN,/,All,CN - 簡化字特有字符（特指不是俗字的文改委新造字及解放字，含第三表類推草書楷化部件字符），CL-CN 類推舊字形的簡化字變體字圖
丸,4E38,20024,E0102,9559,uni4E38uE0102-JP,uni4E38-TW,Hanyo-Denshi,IVS,MO - 澳門註冊的IVS字圖
乐,4E50,20048,/,9589,uni4E50-CN,uni4E50-CN,/,All,V - 變體字圖
乒,4E52,20050,/,9591,uni4E52-CL,uni4E52-CN,/,All,IVS - 非默認變體字圖
乓,4E53,20051,/,9592,uni4E53-CL,uni4E53-CN,/,All,*另外整合的PUA的IVS不應於信息交換時使用
乡,4E61,20065,/,9611,uni4E61-CN,uni4E61-CN,/,All,
亂,4E82,20098,E0102,9654,uni4E82-M,uni4E82-CN,Hanyo-Denshi,M,
五,4E94,20116,E0102,9681,uni4E94uE0102-JP,uni4E94-CN,Hanyo-Denshi,IVS,
亞,4E9E,20126,E0102,9695,uni4E9EuE0102-JP,uni4E9E-CN,Moji-Joho,IVS,
亟,4E9F,20127,E0102,9697,uni4E9FuE0102-JP,uni4E9F-CN,Hanyo-Denshi,IVS,
亟,4E9F,20127,E0103,9698,uni4E9FuE0103-JP,uni4E9F-TW,Moji-Joho,IVS,
亠,4EA0,20128,E0101,9700,uni4EA0uE0101-JP,uni4EA0-CN,Moji-Joho,IVS,
亢,4EA2,20130,E0102,9705,uni4EA2uE0102-JP,uni4EA2-CN,Hanyo-Denshi,IVS,
亥,4EA5,20133,E0102,9710,uni4EA5uE0102-JP,uni4EA5-CN,Hanyo-Denshi,IVS,
产,4EA7,20135,/,9714,uni4EA7-CN,uni4EA7-CN,/,All,
亨,4EA8,20136,E0102,9716,uni4EA8uE0102-JP,uni4EA8-CN,Hanyo-Denshi,IVS,
亩,4EA9,20137,/,9717,uni4EA9-CN,uni4EA9-CN,/,All,
享,4EAB,20139,E0102,9720,uni4EABuE0102-JP,uni4EAB-CN,Hanyo-Denshi,IVS,
亮,4EAE,20142,E0102,9726,uni4EAEuE0102-JP,uni4EAE-CN,Hanyo-Denshi,IVS,
亵,4EB5,20149,/,9740,uni4EB5-CN,uni4EB5-CN,/,All,
仄,4EC4,20164,E0102,9761,uni4EC4uE0102-JP,uni4EC4-CN,Hanyo-Denshi,IVS,
仑,4ED1,20177,/,9783,uni4ED1-CN,uni4ED1-CN,/,All,
仓,4ED3,20179,/,9785,uni4ED3-CN,uni4ED3-CN,/,All,
仞,4EDE,20190,E0102,9802,uni4EDEuE0102-JP,uni4EDE-TW,Hanyo-Denshi,IVS,
仢,4EE2,20194,E0102,9810,uni4EE2-CL,uni4EE4-TW,Hanyo-Denshi,"CL,CM",
令,4EE4,20196,E0102,9809,uni4EE4uE0102-JP,uni4EE4-CN,Hanyo-Denshi,IVS,
伉,4F09,20233,E0102,9865,uni4F09uE0102-JP,uni4F09-CN,Hanyo-Denshi,IVS,
伊,4F0A,20234,E0102,9871,uni4F0AuE0102-JP,uni4F0D-CN,Hanyo-Denshi,IVS,
伋,4F0B,20235,E0102,9868,uni4F0BuE0102-JP,uni4F0B-CN,Hanyo-Denshi,IVS,
伞,4F1E,20254,/,9895,uni4F1E-CM,uni4F1E-CN,/,All,
传,4F20,20256,/,9897,uni4F20-CN,uni4F20-CN,/,All,
伥,4F25,20261,/,9903,uni4F25-CN,uni4F25-CN,/,All,
伦,4F26,20262,/,9904,uni4F26-CN,uni4F26-CN,/,All,
伶,4F36,20278,E0102,9925,uni4F36uE0102-JP,uni4F36-CN,Hanyo-Denshi,IVS,
佢,4F62,20322,E01EB,9989,uni4F62-M,uni4F62-CN,PUA,M,
佺,4F7A,20346,E0102,10024,uni4F7AuE0102-JP,uni4F7A-CN,Hanyo-Denshi,IVS,
佾,4F7E,20350,E0102,10033,uni4F7EuE0102-JP,uni4F7E-CN,Hanyo-Denshi,M,
価,4FA1,20385,E0102,10086,uni4FA1uE0102-JP,uni4F9E-CN,Hanyo-Denshi,IVS,
侩,4FA9,20393,/,10099,uni4FA9-CM,uni4FA9-CN,/,All,
侪,4FAA,20394,/,10100,uni4FAA-CN,uni4FAA-CN,/,All,
侫,4FAB,20395,E0102,10102,uni4FAB-M,uni4FAB-CN,Hanyo-Denshi,M,
侬,4FAC,20396,/,10104,uni4FAC-CN,uni4FAC-CN,/,All,
俊,4FCA,20426,E0102,10158,uni4FCAuE0102-JP,uni4FCA-CN,Hanyo-Denshi,IVS,
俘,4FD8,20440,E0102,10180,uni4FD8-CM,uni4FD8-CN,Hanyo-Denshi,"M,CM",
俞,4FDE,20446,E0100,10189,uni4FDE-M,uni4FDE-CN,Hanyo-Denshi,M,
俞,4FDE,20446,E0102,10190,uni4FDEuE0102-JP,uni4FDE-TW,Hanyo-Denshi,IVS,
俪,4FEA,20458,/,10207,uni4FEA-CM,uni4FEA-CN,/,All,
俬,4FEC,20460,/,10209,uni4FEC-CL,uni4FEC-CN,/,All,
俭,4FED,20461,/,10210,uni4FED-CN,uni4FED-CN,/,All,
倏,500F,20495,E0102,10268,uni500FuE0102-JP,uni500F-CN,Hanyo-Denshi,IVS,
倐,5010,20496,E0102,10269,uni5010uE0102-JP,uni500F-TW,Hanyo-Denshi,IVS,
