3402 E0100; Adobe-Japan1; CID+2443
3402 E0101; Adobe-Japan1; CID+62065
3402 E0102; Adobe-Japan1; CID+62066
3405 E0100; Adobe-Japan1; CID+2447
3406 E0100; Adobe-Japan1; CID+2448
3427 E0100; Adobe-Japan1; CID+2482
342C E0100; Adobe-Japan1; CID+2487
342E E0100; Adobe-Japan1; CID+2490
3468 E0100; Adobe-Japan1; CID+2552
346A E0100; Adobe-Japan1; CID+2554
3479 E0100; Hanyo-Denshi; CID+2570
3488 E0100; Adobe-Japan1; CID+2586
3492 E0100; Adobe-Japan1; CID+2597
34B5 E0100; Adobe-Japan1; CID+2635
34BC E0100; Adobe-Japan1; CID+2642
34C1 E0100; Adobe-Japan1; CID+2648
34C7 E0100; Adobe-Japan1; CID+2656
34DB E0100; Adobe-Japan1; CID+2677
351F E0100; Adobe-Japan1; CID+2747
353E E0100; Adobe-Japan1; CID+2778
355D E0100; Adobe-Japan1; CID+2810
355E E0100; Adobe-Japan1; CID+2811
3563 E0100; Adobe-Japan1; CID+2816
356E E0100; Adobe-Japan1; CID+2828
35A6 E0100; Adobe-Japan1; CID+2889
35A8 E0100; Adobe-Japan1; CID+2891
35C5 E0100; Adobe-Japan1; CID+2923
35DA E0100; Adobe-Japan1; CID+2945
35DE E0100; Adobe-Japan1; CID+2950
35F4 E0100; Adobe-Japan1; CID+2973
3605 E0100; Adobe-Japan1; CID+2993
3614 E0100; Adobe-Japan1; CID+3010
364A E0100; Adobe-Japan1; CID+3069
3691 E0100; Adobe-Japan1; CID+3142
3696 E0100; Adobe-Japan1; CID+3148
3699 E0100; Adobe-Japan1; CID+3151
36CF E0100; Adobe-Japan1; CID+3220
3761 E0100; Adobe-Japan1; CID+3391
3762 E0100; Adobe-Japan1; CID+3393
376B E0100; Adobe-Japan1; CID+3404
376C E0100; Adobe-Japan1; CID+3406
3775 E0100; Adobe-Japan1; CID+3416
378D E0100; Adobe-Japan1; CID+3440
37C1 E0100; Adobe-Japan1; CID+3494
37E2 E0100; Adobe-Japan1; CID+3528
37E8 E0100; Adobe-Japan1; CID+3534
37F4 E0100; Adobe-Japan1; CID+3548
37FD E0100; Adobe-Japan1; CID+3559
3800 E0100; Adobe-Japan1; CID+3563
382F E0100; Adobe-Japan1; CID+3615
3836 E0100; Adobe-Japan1; CID+3622
3840 E0100; Adobe-Japan1; CID+3632
385C E0100; Adobe-Japan1; CID+3661
3861 E0100; Adobe-Japan1; CID+3667
38A1 E0100; Adobe-Japan1; CID+3732
38AD E0100; Adobe-Japan1; CID+3745
38FA E0100; Adobe-Japan1; CID+3823
3917 E0100; Adobe-Japan1; CID+3853
391A E0100; Adobe-Japan1; CID+3857
396F E0100; Adobe-Japan1; CID+3944
39A4 E0100; Adobe-Japan1; CID+4002
39B8 E0100; Adobe-Japan1; CID+4023
3A5C E0100; Adobe-Japan1; CID+4193
3A6E E0100; Adobe-Japan1; CID+4215
3A73 E0100; Adobe-Japan1; CID+4221
3A85 E0100; Adobe-Japan1; CID+4240
3AC4 E0100; Adobe-Japan1; CID+4303
3ACB E0100; Adobe-Japan1; CID+4311
3AD6 E0100; Adobe-Japan1; CID+4323
3AD7 E0100; Adobe-Japan1; CID+4324
3AEA E0100; Adobe-Japan1; CID+4343
3AF3 E0100; Adobe-Japan1; CID+4353
3B0E E0100; Adobe-Japan1; CID+4383
3B1A E0100; Adobe-Japan1; CID+4397
3B1C E0100; Adobe-Japan1; CID+4400
3B22 E0100; Adobe-Japan1; CID+4407
3B6D E0100; Adobe-Japan1; CID+4481
3B77 E0100; Adobe-Japan1; CID+4492
3B87 E0100; Adobe-Japan1; CID+4509
3B88 E0100; Adobe-Japan1; CID+4511
3B8D E0100; Adobe-Japan1; CID+4516
3B8D E0102; Hanyo-Denshi; CID+4517
3BA4 E0100; Adobe-Japan1; CID+4541
3BB6 E0100; Adobe-Japan1; CID+4560
3BC3 E0100; Adobe-Japan1; CID+4575
3BCD E0100; Adobe-Japan1; CID+4587
3BF0 E0100; Adobe-Japan1; CID+4623
3BF3 E0100; Adobe-Japan1; CID+4627
3BF3 E0102; Hanyo-Denshi; CID+4628
3C0F E0100; Adobe-Japan1; CID+4657
3C26 E0100; Adobe-Japan1; CID+4681
3CC3 E0100; Adobe-Japan1; CID+4842
3CD2 E0100; Adobe-Japan1; CID+4857
3CFD E0100; Hanyo-Denshi; CID+4901
3D11 E0100; Adobe-Japan1; CID+4921
3D1E E0100; Adobe-Japan1; CID+4936
3D31 E0100; Adobe-Japan1; CID+4956
3D4E E0100; Adobe-Japan1; CID+4989
3D64 E0100; Adobe-Japan1; CID+5015
3D6A E0100; Hanyo-Denshi; CID+5024
3D6A E0101; Hanyo-Denshi; CID+5023
3D7E E0101; Hanyo-Denshi; CID+5045
3D9A E0100; Adobe-Japan1; CID+5075
3DC0 E0100; Adobe-Japan1; CID+5117
3DCC E0100; Adobe-Japan1; CID+5132
3DD4 E0100; Adobe-Japan1; CID+5144
3E05 E0100; Adobe-Japan1; CID+5201
3E3F E0100; Adobe-Japan1; CID+5262
3E40 E0100; Adobe-Japan1; CID+5264
3E60 E0100; Adobe-Japan1; CID+5298
3E66 E0100; Adobe-Japan1; CID+5305
3E68 E0100; Adobe-Japan1; CID+5307
3E83 E0100; Adobe-Japan1; CID+5334
3E8A E0100; Adobe-Japan1; CID+5341
3E94 E0100; Adobe-Japan1; CID+5351
3EDA E0100; Adobe-Japan1; CID+5428
3EF4 E01EA; PUA; CID+5460
3EF4 E01EB; PUA; CID+5461
3F57 E0100; Adobe-Japan1; CID+5563
3F72 E0100; Adobe-Japan1; CID+5590
3F75 E0100; Adobe-Japan1; CID+5594
3F77 E0100; Adobe-Japan1; CID+5597
3FAE E0100; Adobe-Japan1; CID+5653
3FB1 E0100; Adobe-Japan1; CID+5657
3FC9 E0100; Adobe-Japan1; CID+5683
3FD7 E0100; Adobe-Japan1; CID+5699
3FDC E0100; Adobe-Japan1; CID+5706
4039 E0100; Adobe-Japan1; CID+5805
4058 E0100; Adobe-Japan1; CID+5837
4093 E0100; Adobe-Japan1; CID+5900
4103 E0100; Adobe-Japan1; CID+6016
4105 E0100; Adobe-Japan1; CID+6020
4148 E0100; Adobe-Japan1; CID+6090
414F E0100; Adobe-Japan1; CID+6098
4163 E0100; Adobe-Japan1; CID+6118
417C E01EA; PUA; CID+6144
417C E01EB; PUA; CID+6145
41B4 E0100; Adobe-Japan1; CID+6203
41BF E0100; Adobe-Japan1; CID+6215
41E6 E0100; Adobe-Japan1; CID+6256
41EE E0100; Adobe-Japan1; CID+6265
41F3 E0100; Adobe-Japan1; CID+6271
4207 E0100; Adobe-Japan1; CID+6292
420E E0100; Adobe-Japan1; CID+6299
4264 E0100; Adobe-Japan1; CID+6389
4293 E0100; Adobe-Japan1; CID+6440
42C6 E0100; Adobe-Japan1; CID+6493
42D6 E0100; Adobe-Japan1; CID+6510
42DD E0100; Adobe-Japan1; CID+6518
4302 E0100; Adobe-Japan1; CID+6557
432B E0100; Adobe-Japan1; CID+6600
4343 E0100; Adobe-Japan1; CID+6626
43EE E0100; Adobe-Japan1; CID+6805
43F0 E0100; Adobe-Japan1; CID+6807
4408 E0100; Adobe-Japan1; CID+6836
440C E0100; Adobe-Japan1; CID+6841
4417 E0100; Adobe-Japan1; CID+6853
441C E0100; Adobe-Japan1; CID+6859
4422 E0100; Adobe-Japan1; CID+6866
4453 E0100; Adobe-Japan1; CID+6918
445B E0100; Adobe-Japan1; CID+6927
4476 E0100; Adobe-Japan1; CID+6955
447A E0100; Adobe-Japan1; CID+6960
4491 E0100; Adobe-Japan1; CID+6986
44B3 E0100; Adobe-Japan1; CID+7024
44BE E0100; Adobe-Japan1; CID+7038
44D4 E0100; Adobe-Japan1; CID+7065
44F2 E0102; Hanyo-Denshi; CID+7106
4508 E0100; Adobe-Japan1; CID+7131
450D E0100; Adobe-Japan1; CID+7138
4525 E0100; Adobe-Japan1; CID+7165
4543 E0100; Adobe-Japan1; CID+7203
457A E0100; Adobe-Japan1; CID+7271
459D E0100; Adobe-Japan1; CID+7312
45B8 E0100; Adobe-Japan1; CID+7342
45BE E0100; Adobe-Japan1; CID+7348
45E5 E0100; Adobe-Japan1; CID+7389
45EA E0100; Adobe-Japan1; CID+7394
460F E0100; Adobe-Japan1; CID+7433
4610 E0100; Adobe-Japan1; CID+7434
4641 E0100; Adobe-Japan1; CID+7483
4665 E0100; Adobe-Japan1; CID+7520
46A1 E0100; Adobe-Japan1; CID+7583
46AE E0100; Adobe-Japan1; CID+7597
46AF E0100; Adobe-Japan1; CID+7599
470C E0100; Adobe-Japan1; CID+7694
471F E0100; Adobe-Japan1; CID+7716
4764 E0100; Adobe-Japan1; CID+7788
47E6 E0100; Adobe-Japan1; CID+7920
47FD E0100; Adobe-Japan1; CID+7944
4816 E0100; Adobe-Japan1; CID+7970
481E E0100; Adobe-Japan1; CID+7979
4844 E0100; Adobe-Japan1; CID+8019
484E E0100; Adobe-Japan1; CID+8029
484E E01EA; PUA; CID+8030
48B5 E0100; Adobe-Japan1; CID+8138
49B0 E0100; Adobe-Japan1; CID+8400
49E7 E0100; Adobe-Japan1; CID+8457
49FA E0100; Adobe-Japan1; CID+8476
4A04 E0100; Adobe-Japan1; CID+8487
4A29 E0100; Adobe-Japan1; CID+8528
4ABC E0100; Adobe-Japan1; CID+8681
4B38 E0100; Adobe-Japan1; CID+8812
4B3B E0100; Adobe-Japan1; CID+8816
4B7E E0100; Adobe-Japan1; CID+8887
4BC2 E0100; Adobe-Japan1; CID+8959
4BCA E0100; Adobe-Japan1; CID+8967
4BD2 E0100; Adobe-Japan1; CID+8976
4BE8 E0100; Adobe-Japan1; CID+9000
4C17 E0100; Adobe-Japan1; CID+9048
4C20 E0100; Adobe-Japan1; CID+9058
4C38 E0100; Adobe-Japan1; CID+9083
4CC4 E0100; Adobe-Japan1; CID+9230
4CD1 E0100; Adobe-Japan1; CID+9244
4CE1 E0100; Adobe-Japan1; CID+9260
4D07 E0100; Adobe-Japan1; CID+9299
4D77 E0100; Adobe-Japan1; CID+9415
4DBF E01EA; PUA; CID+44313
4DBF E01EB; PUA; CID+44314
4E00 E0100; Adobe-Japan1; CID+9481
4E01 E0100; Adobe-Japan1; CID+9482
